Size of Array       Insertion sort      Quick sort          
10                  0.0000000000        0.0000000000        
500                 0.0510000000        0.0050000000        
1000                0.2090000000        0.0170000000        
1500                0.4620000000        0.0190000000        
2000                0.8200000000        0.0250000000        
2500                1.2900000000        0.0320000000        
3000                1.8440000000        0.0410000000        
3500                2.5360000000        0.0480000000        
4000                3.2680000000        0.0590000000        
4500                4.2370000000        0.0670000000        
5000                5.3190000000        0.0790000000        
5500                6.3970000000        0.0900000000        
