Size of Array       Insertion sort      Quick sort          
10                  0.0000000000        0.0000000000        
500                 0.0630000000        0.0110000000        
1000                0.2200000000        0.0150000000        
1500                0.4580000000        0.0300000000        
2000                0.7610000000        0.0450000000        
2500                1.2490000000        0.0510000000        
3000                1.7720000000        0.0650000000        
3500                2.4330000000        0.0660000000        
4000                3.2350000000        0.0770000000        
4500                4.0260000000        0.0960000000        
5000                4.9000000000        0.1110000000        
